SKU,Product Name,Category,Brand,Price (USD),Stock
GRO-19764,Rice,Grocery,Brand C,18.05,45
GRO-34098,Pasta,Grocery,Brand D,12.63,51
GRO-49361,Honey,Grocery,Brand C,22.44,259
HOU-53782,Air Freshener,Household,Brand C,48.98,421
HOU-64408,Paper Towels,Household,Brand C,12.12,500
HOU-33234,Sponges,Household,Brand B,15.33,440
HOU-88953,Air Freshener,Household,Brand C,32.57,164
GRO-35192,Salt,Grocery,Brand D,38.2,116
GRO-66947,Salt,Grocery,Brand B,46.04,424
HOU-11272,Air Freshener,Household,Brand C,16.14,311
GRO-54060,Coffee,Grocery,Brand D,27.43,481
GRO-59477,Olive Oil,Grocery,Brand C,13.76,261
GRO-76097,Milk Powder,Grocery,Brand B,16.36,431
GRO-10125,Olive Oil,Grocery,Brand A,45.27,203
GRO-95830,Pasta,Grocery,Brand D,47.94,394
HOU-31550,Mop,Household,Brand C,35.37,274
HOU-54348,Dish Soap,Household,Brand A,40.44,236
GRO-44779,Rice,Grocery,Brand A,37.97,241
GRO-26479,Sugar,Grocery,Brand D,16.46,253
GRO-17149,Pasta,Grocery,Brand B,21.43,207
HOU-30779,Mop,Household,Brand A,17.81,112
HOU-53005,Broom,Household,Brand D,41.55,65
GRO-60304,Milk Powder,Grocery,Brand D,33.74,237
GRO-10835,Wheat Flour,Grocery,Brand C,15.78,429
HOU-80782,Air Freshener,Household,Brand A,16.67,110
GRO-99050,Coffee,Grocery,Brand D,27.94,159
HOU-57898,Paper Towels,Household,Brand B,16.21,371
GRO-76418,Honey,Grocery,Brand A,48.28,361
HOU-54251,Garbage Bags,Household,Brand D,31.68,230
HOU-56020,Mop,Household,Brand A,28.86,289
HOU-82126,Laundry Softener,Household,Brand C,1.97,82
HOU-85419,Mop,Household,Brand A,36.2,215
HOU-39854,Garbage Bags,Household,Brand A,31.38,228
GRO-77523,Rice,Grocery,Brand A,30.13,237
GRO-92200,Salt,Grocery,Brand C,41.39,427
GRO-55883,Honey,Grocery,Brand D,11.71,453
HOU-89139,Broom,Household,Brand A,42.13,11
GRO-94560,Honey,Grocery,Brand A,4.17,74
GRO-77610,Tea,Grocery,Brand C,40.43,379
GRO-92145,Sugar,Grocery,Brand D,43.17,267
GRO-61503,Tea,Grocery,Brand D,41.0,158
HOU-78930,Laundry Softener,Household,Brand A,36.72,436
GRO-47932,Rice,Grocery,Brand C,14.64,475
HOU-53234,Sponges,Household,Brand D,42.56,217
GRO-13884,Coffee,Grocery,Brand D,13.29,346
HOU-23905,Sponges,Household,Brand B,19.97,432
HOU-49047,Sponges,Household,Brand C,20.57,247
GRO-69201,Sugar,Grocery,Brand A,36.38,161
HOU-34004,Mop,Household,Brand B,48.61,89
GRO-74503,Rice,Grocery,Brand A,46.31,297
HOU-97492,Garbage Bags,Household,Brand D,28.75,206
GRO-53464,Milk Powder,Grocery,Brand D,8.45,52
HOU-90546,Air Freshener,Household,Brand D,28.18,48
HOU-26368,Air Freshener,Household,Brand C,14.14,312
GRO-10715,Honey,Grocery,Brand D,12.55,189
GRO-72740,Pasta,Grocery,Brand D,26.56,22
HOU-11042,Mop,Household,Brand B,37.34,30
GRO-74026,Wheat Flour,Grocery,Brand D,2.99,368
GRO-41908,Wheat Flour,Grocery,Brand C,38.9,133
GRO-90403,Honey,Grocery,Brand A,22.94,492
GRO-44430,Rice,Grocery,Brand D,2.34,466
HOU-76712,Paper Towels,Household,Brand D,9.88,194
HOU-73799,Detergent,Household,Brand A,28.71,92
HOU-73100,Broom,Household,Brand D,46.13,210
GRO-37197,Tea,Grocery,Brand C,39.9,426
HOU-98391,Dish Soap,Household,Brand B,26.57,193
GRO-19311,Olive Oil,Grocery,Brand A,33.44,123
GRO-96964,Salt,Grocery,Brand C,13.97,197
GRO-41821,Pasta,Grocery,Brand A,17.32,229
GRO-72530,Wheat Flour,Grocery,Brand B,2.3,115
HOU-77556,Garbage Bags,Household,Brand D,4.61,48
GRO-52601,Wheat Flour,Grocery,Brand C,3.04,169
GRO-49224,Wheat Flour,Grocery,Brand A,21.83,462
GRO-18349,Milk Powder,Grocery,Brand D,17.58,48
GRO-31567,Coffee,Grocery,Brand A,10.67,369
HOU-77354,Toilet Paper,Household,Brand D,48.34,445
GRO-26777,Pasta,Grocery,Brand A,27.61,318
GRO-80004,Olive Oil,Grocery,Brand A,30.69,39
HOU-66435,Broom,Household,Brand C,27.08,89
HOU-49571,Sponges,Household,Brand B,32.18,201
GRO-67828,Honey,Grocery,Brand C,14.0,363
HOU-21213,Garbage Bags,Household,Brand D,14.98,26
HOU-72712,Dish Soap,Household,Brand B,40.34,486
HOU-77399,Laundry Softener,Household,Brand D,21.44,195
